ref_code,base_y,base_x,offsets
W0C/SJ-027,13934,-28027,-1:0 0:0
W0C/SJ-028,13933,-28019,0:0
W0C/SJ-029,13937,-28033,0:0
W0C/SJ-030,13959,-28022,0:0
W0C/SJ-031,13936,-28032,0:0
W0C/SJ-032,13942,-28017,0:0
W0C/SJ-033,13960,-28024,-2:2 0:0
W0C/SJ-034,13941,-28029,0:0
W0C/SJ-035,14009,-28075,0:0
W0C/SJ-036,13954,-28011,0:0
W0C/SJ-037,14053,-28010,0:0 2:1
W0C/SJ-038,13948,-28017,0:-1 0:0 1:-1
W0C/SJ-039,13987,-28080,0:0
W0C/SJ-040,13928,-27994,-1:1 0:0
W0C/SJ-041,14023,-28068,0:0 1:-1 2:-1
W0C/SJ-042,13951,-28008,0:0
W0C/SJ-043,13964,-28007,-3:-3 -2:-3 0:-1 0:0
W0C/SJ-044,13949,-28006,0:0
W0C/SJ-045,13932,-28014,0:0
W0C/SJ-046,14021,-28027,0:-1 0:0 1:-1
W0C/SJ-047,13945,-28015,-2:-3 0:-2 0:0 1:-2 2:-2 3:-1 4:0
W0C/SJ-048,13958,-28026,0:0 0:1 1:-1
W0C/SJ-049,14022,-28034,-5:1 -1:-1 -1:0 0:0
W0C/SJ-050,13999,-28007,0:0 1:-1
W0C/SJ-051,14036,-28060,-4:-2 -3:-2 -1:0 0:0
W0C/SJ-052,13966,-28015,-1:0 0:-1 0:0
W0C/SJ-053,14039,-28024,-2:2 0:0 1:-1 1:0 2:-3 2:-2 3:-3
W0C/SJ-054,13995,-28026,-2:0 0:0 1:-2 1:1 2:-3
W0C/SJ-055,13989,-28023,-4:0 -2:0 -2:1 0:-1 0:0 2:-2
W0C/SJ-056,13989,-28070,0:0 0:1
W0C/SJ-057,13944,-28013,0:0 0:1
W0C/SJ-058,13924,-27992,-4:0 0:0
W0C/SJ-059,13998,-28021,-2:0 0:0
W0C/SJ-060,13948,-28023,-2:1 -2:3 -1:0 0:0 1:-4
W0C/SJ-061,13951,-28011,-1:-4 -1:4 0:-3 0:0 2:0 4:-1
W0C/SJ-062,14013,-28071,-1:0 0:0
W0C/SJ-063,14022,-28021,0:-3 0:0
W0C/SJ-064,13994,-28048,-3:1 0:0
W0C/SJ-065,14030,-28028,-2:0 -2:1 -1:0 0:0 0:1 1:1 2:1
W0C/SJ-066,13922,-28025,0:-1 0:0
W0C/SJ-067,13963,-27994,0:0 1:0
W0C/SJ-068,13935,-27999,0:0 1:0
W0C/SJ-069,13833,-27786,0:0 0:1
W0C/SJ-070,13935,-27996,-2:2 -1:0 0:0
W0C/SJ-071,13962,-28026,-3:2 0:0
W0C/SJ-072,13993,-28000,0:-1 0:0 1:-1 1:4
W0C/SJ-073,14035,-28028,0:0 1:0 5:2
W0C/SJ-074,13953,-27995,0:0 0:1
W0C/SJ-075,13924,-27998,-2:4 -1:0 0:0
W0C/SJ-076,13954,-27997,-1:0 0:-1 0:0 4:1
W0C/SJ-077,14049,-28025,-1:0 0:0 1:2
W0C/SJ-078,13862,-28146,0:-2 0:0
W0C/SJ-079,13947,-27993,-3:-1 0:0 0:1 1:-2
W0C/SJ-080,13913,-28011,-4:-2 -4:-1 -4:0 -3:0 0:0
W0C/SJ-081,13996,-28009,0:-1 0:0 1:-2 2:2 3:1 4:2 5:0
W0C/SJ-082,13949,-28054,-1:0 0:0 2:-1
W0C/SJ-083,14009,-28066,0:0
W0C/SJ-084,13841,-27785,-2:-2 -1:-2 0:0
W0C/SJ-085,13944,-28053,-1:0 0:0 2:1
W0C/SJ-086,13993,-28060,0:0 1:-1
W0C/SJ-087,13919,-28041,-2:1 -1:0 0:-1 0:0 1:-1 1:0 3:-2
W0C/SJ-088,13998,-28056,-1:0 0:0
W0C/SJ-090,13846,-27782,-4:-2 0:0
W0C/SJ-091,13801,-27784,-2:1 0:0 2:-1 4:-1 5:-1
W0C/SJ-092,14029,-28045,-1:-1 0:0 1:-1
W0C/SJ-093,13902,-28017,-1:-1 0:0
W0C/SJ-094,13742,-27768,-3:2 -2:1 0:0 0:1 1:0 3:0 4:0
W0C/SJ-095,13859,-28129,0:0 1:-1
W0C/SJ-097,14014,-28049,-1:0 0:0
W0C/SJ-098,13953,-28090,-1:0 0:-3 0:-2 0:-1 0:0 1:-2
W0C/SJ-099,13810,-27806,0:0 0:1
W0C/SJ-100,13846,-28133,-1:-4 0:0 1:0 2:0
W0C/SJ-172,14040,-27990,-1:0 0:-4 0:-1 0:0 1:-2
W0C/SJ-173,14033,-28072,-3:1 -1:0 0:-1 0:0
W0C/SJ-174,13961,-28015,-4:-2 -4:0 -1:0 0:0
W0C/SJ-175,14049,-28053,-2:-3 -1:-3 -1:-2 -1:0 0:-4 0:-1 0:0
W0C/SJ-176,14052,-28052,-1:1 -1:2 0:0 0:1
W0C/SL-001,13917,-27471,0:0
W0C/SL-002,13748,-27393,0:0 1:-1
W0C/SL-003,13919,-27460,0:0 1:-1
W0C/SL-004,13926,-27461,-1:0 0:0
W0C/SL-005,13738,-27394,-1:-1 0:-1 0:0 1:0
W0C/SL-006,13730,-27399,0:0
W0C/SL-007,13922,-27479,0:0
W0C/SL-008,13755,-27390,-1:0 0:0
W0C/SL-009,13810,-27387,0:0
W0C/SL-010,13799,-27384,0:-1 0:0
W0C/SL-011,13734,-27399,-4:-1 -4:1 -3:0 0:0 1:0
W0C/SL-012,13776,-27388,-1:1 0:0 0:1
