# lat,lon,effective_radius_m -- worldwide city anchors for
# score_points()'s in-city test (docs/features/places.md). US rows are
# the untouched original app/reference/places.csv (US Census 2024
# Gazetteer places, radius = sqrt(ALAND/pi)). Non-US rows are derived
# from GeoNames cities500 (download.geonames.org), radius estimated from
# population (GeoNames carries no land-area figure) at an assumed
# 1500 people/km^2, clamped to [300m, 25000m] -- see
# scripts/build_global_anchors.py for the derivation and the
# Boise/SLC/Denver sanity check against the real US Census circles.
29.2826,-95.0076,7058
29.2832,-95.7408,1072
29.2871,-103.5834,3014
29.2932,-97.147,1943
29.2938,-100.4255,1565
29.2973,-94.9149,627
29.3013,-95.4508,1271
29.3018,-95.2745,950
29.3038,-99.6308,2053
29.31,-98.8111,721
29.3176,-96.1023,2617
29.3182,-100.4105,1616
29.3208,-98.6997,1132
29.3213,-99.4695,989
29.3256,-94.9392,511
29.329,-99.2687,1472
29.3356,-103.5426,1981
29.35,-95.4531,1627
29.3531,-98.1258,1404
29.3542,-99.1618,2878
29.3585,-100.7769,2292
29.3599,-98.8547,1710
29.369,-100.9429,1623
29.3698,-94.9942,3368
29.373,-100.8819,4107
29.3746,-100.8306,821
29.3866,-98.6179,1869
29.3876,-95.1015,3742
29.3921,-95.2226,602
29.3929,-98.3456,1886
29.395,-95.8382,1287
29.4013,-95.4817,1197
29.4067,-96.0905,1230
29.4155,-96.3786,2346
29.4202,-98.207,4943
29.4248,-95.2244,4346
29.4337,-104.1776,2475
29.4337,-97.1736,1427
29.4337,-94.8927,7391
29.4366,-95.777,1329
29.4411,-95.4238,3021
29.4415,-96.4134,2116
29.4431,-96.9435,1502
29.4438,-96.0066,952
29.4517,-95.0562,2866
29.4591,-100.9534,647
29.4617,-98.3853,1284
29.4628,-98.5246,20282
29.4743,-95.8023,1227
29.4749,-98.4866,712
29.4771,-98.4472,1153
29.4818,-95.6369,2017
29.4828,-98.4682,1232
29.4854,-95.5063,3221
29.4854,-95.3623,4746
29.489,-98.1094,2818
29.4898,-94.5685,5918
29.4901,-95.1091,6507
29.4902,-98.5491,735
29.4911,-94.9414,1979
29.4949,-95.9157,936
29.4954,-98.6143,1691
29.5038,-95.4696,1455
29.5051,-98.1522,2089
29.5077,-95.2006,4122
29.5086,-94.9887,1448
29.5113,-96.673,2100
29.5125,-98.3046,2790
29.5125,-97.4472,2239
29.5138,-96.5671,2034
29.5148,-98.3813,1331
29.5244,-96.063,1767
29.5245,-101.153,1116
29.5247,-98.5191,1427
29.5286,-95.02,1230
29.5303,-98.2789,1843
29.5321,-95.1165,2288
29.5335,-101.1586,1092
29.5375,-95.4687,2652
29.5443,-95.0325,599
29.5448,-95.0874,1001
29.55,-95.8214,5570
29.552,-98.3076,2157
29.5554,-98.34,1980
29.5557,-95.323,6339
29.5603,-104.3653,1457
29.5629,-95.536,4891
29.5633,-98.2509,5226
29.5701,-98.2178,4170
29.5715,-95.0452,729
29.5722,-97.1466,830
29.5726,-98.1429,802
29.5748,-95.0553,962
29.578,-98.6805,2390
29.5812,-95.7605,1884
29.582,-98.4857,1344
29.5844,-98.5562,1647
29.5853,-95.7954,1225
29.5865,-98.3153,2032
29.5873,-96.3286,1554
29.5902,-97.9686,5744
29.5908,-95.318,1298
29.5928,-95.6338,5776
29.5931,-98.1606,1372
29.5947,-94.9915,2011
29.598,-95.5513,773
29.5992,-98.4855,1092
29.6005,-98.0476,1837
29.6029,-95.9688,576
29.6157,-98.6833,774
29.621,-95.019,864
29.6236,-95.7319,2614
29.6241,-99.5127,1560
29.6257,-95.5657,2404
29.6271,-98.9426,4999
29.632,-96.0635,1110
29.6365,-98.2925,2426
29.638,-98.9915,1597
29.6492,-98.6663,2246
29.65,-97.8186,1457
29.6509,-95.5869,877
29.655,-95.1511,6002
29.6573,-95.931,1478
29.661,-95.2284,1585
29.6629,-94.6881,995
29.6653,-98.0816,1112
29.6666,-97.5013,665
29.6674,-95.0491,3916
29.669,-100.0109,644
29.6703,-95.66,1411
29.6718,-94.9982,822
29.6728,-97.9686,2566
29.6766,-95.9734,1392
29.6817,-97.6467,2131
29.682,-96.9075,1468
29.6873,-95.1159,2943
29.6897,-97.1052,1168
29.6924,-95.8866,3264
29.6937,-95.6663,1982
29.6945,-97.2978,1027
29.6973,-96.5875,906
