ref_type,ref_code,name,lat,lon,points,source,area_m2,geom
summit,W0C/SR-069,Deer Mountain,39.157500,-106.521000,100,SOTA,,
summit,W0C/SR-070,Mount Sheridan,39.209100,-106.184800,100,SOTA,,
summit,W0C/SR-071,13736,39.140400,-106.523600,100,SOTA,,
summit,W0C/SR-072,Mount Jackson,39.485300,-106.536700,100,SOTA,,
summit,W0C/SR-073,13537,39.014700,-106.912500,100,SOTA,,
summit,W0C/SR-074,K 49,39.152100,-106.500600,100,SOTA,,
summit,W0C/SR-181,Keefe Peak,39.032500,-106.904200,100,SOTA,,
summit,W0C/UR-001,Mount Sneffels,38.003600,-107.792300,100,SOTA,,
summit,W0C/UR-002,Teakettle Mountain,38.000600,-107.761800,100,SOTA,,
summit,W0C/UR-003,Dallas Peak,37.988200,-107.823400,100,SOTA,,
summit,W0C/UR-004,Potosi Peak,37.989700,-107.749300,100,SOTA,,
summit,W0C/UR-005,Cirque Mountain,38.003800,-107.771500,100,SOTA,,
summit,W0C/UR-006,13510,37.917500,-107.737700,100,SOTA,,
summit,W0C/WE-001,Castle Peak,39.009700,-106.861200,100,SOTA,,
summit,W0C/WE-002,Maroon Peak,39.070800,-106.988900,100,SOTA,,
summit,W0C/WE-003,Snowmass Mountain,39.118800,-107.066400,100,SOTA,,
summit,W0C/WE-004,Anderson Peak,39.012200,-106.629900,100,SOTA,,
summit,W0C/WE-005,13550,38.994400,-106.878000,100,SOTA,,
summit,W0C/WE-006,White Rock Mountain,38.980700,-106.927500,100,SOTA,,
summit,W0C/WE-007,Treasure Mountain,39.024200,-107.122800,100,SOTA,,
summit,W0C/WE-008,Star Peak,38.979600,-106.799500,100,SOTA,,
summit,W0C/WE-009,Petroleum Peak,39.024400,-106.648900,100,SOTA,,
summit,W0D/BB-001,Black Elk Peak,43.866000,-103.531200,100,SOTA,,
summit,W0D/BB-002,Odakota Mountain,43.923500,-103.754200,100,SOTA,,
summit,W0D/BB-003,Sylvan Peak,43.843800,-103.586600,100,SOTA,,
summit,W0D/BB-029,Bear Mountain,43.869800,-103.743900,100,SOTA,,
summit,W0D/NW-001,Crooks Tower,44.156000,-103.918500,100,SOTA,,
summit,W0D/NW-002,Terry Peak,44.327800,-103.835700,100,SOTA,,
summit,W5A/MA-001,Magazine Mountain,35.167100,-93.644800,100,SOTA,,
summit,W5A/OH-001,Rich Mountain,34.674300,-94.329100,100,SOTA,,
summit,W5A/OH-002,Black Fork Mountain,34.712200,-94.368200,100,SOTA,,
summit,W5A/OH-003,Blue Mountain,34.686200,-94.048300,100,SOTA,,
summit,W5A/OH-004,2570,34.683600,-94.224200,100,SOTA,,
summit,W5A/OH-005,Wolf Pinnacle,34.693300,-94.121100,100,SOTA,,
summit,W5A/OZ-001,Yates Benchmark,35.799000,-93.500600,100,SOTA,,
summit,W5A/OZ-002,Hare Mountain,35.759700,-93.757100,100,SOTA,,
summit,W5A/OZ-003,Health Lookout,35.787800,-93.942700,100,SOTA,,
summit,W5A/OZ-012,Whiting Mountain,35.756700,-93.843200,100,SOTA,,
summit,W5A/PT-001,Poteau Mountain,34.963000,-94.374700,100,SOTA,,
summit,W5A/PT-002,Petit Jean Mountain,35.022700,-93.700100,100,SOTA,,
summit,W5A/PT-003,Poteau Mountain Wilderness HP,34.958100,-94.297700,100,SOTA,,
summit,W5N/AP-001,Alegres Mountain,34.157500,-108.189500,100,SOTA,,
summit,W5N/BL-001,McKnight Mountain,33.052000,-107.850400,100,SOTA,,
summit,W5N/BL-002,Hillsboro Peak,32.952900,-107.779500,100,SOTA,,
summit,W5N/BL-003,Reeds Peak,33.142800,-107.854600,100,SOTA,,
summit,W5N/CM-001,Little Costilla Peak,36.833400,-105.222900,100,SOTA,,
summit,W5N/CM-002,Baldy Mountain,36.629900,-105.213300,100,SOTA,,
summit,W5N/CM-003,Touch-Me-Not Mountain,36.580700,-105.199200,100,SOTA,,
summit,W5N/CM-004,Mount Phillips,36.476600,-105.159400,100,SOTA,,
summit,W5N/CM-005,South Ash Mountain,36.821000,-105.201100,100,SOTA,,
summit,W5N/CM-006,Green Mountain,36.559700,-105.195100,100,SOTA,,
summit,W5N/CM-007,11100,36.733100,-105.225400,100,SOTA,,
summit,W5N/CM-008,Agua Fria Peak,36.360100,-105.207100,100,SOTA,,
summit,W5N/CM-009,Garcia Peak,36.445000,-105.184800,100,SOTA,,
summit,W5N/CM-010,Black Mountain,36.450000,-105.081300,100,SOTA,,
summit,W5N/CM-011,Bear Mountain,36.464600,-105.094500,100,SOTA,,
summit,W5N/CM-012,Ocate Mesa,36.259900,-105.191300,100,SOTA,,
summit,W5N/CM-013,Trail Peak,36.407600,-105.067400,100,SOTA,,
summit,W5N/GW-001,Whitewater Baldy,33.323900,-108.642400,100,SOTA,,
summit,W5N/GW-002,Willow Mountain,33.351000,-108.677800,100,SOTA,,
summit,W5N/GW-003,Mogollon Baldy Peak,33.271500,-108.594400,100,SOTA,,
summit,W5N/GW-004,Sacaton Mountain,33.272200,-108.688700,100,SOTA,,
summit,W5N/GW-005,Black Mountain,33.297900,-108.671500,100,SOTA,,
summit,W5N/GW-006,Grouse Mountain,33.328700,-108.716600,100,SOTA,,
summit,W5N/GW-040,Indian Peak,33.311000,-108.678300,100,SOTA,,
summit,W5N/MG-001,South Baldy,33.991000,-107.187900,100,SOTA,,
summit,W5N/MG-002,Timber Peak,33.979000,-107.160300,100,SOTA,,
summit,W5N/MG-003,West Blue Mountain,33.665100,-107.445700,100,SOTA,,
summit,W5N/MG-004,Vicks Peak,33.553100,-107.435000,100,SOTA,,
summit,W5N/MG-005,San Mateo Mountain,33.560400,-107.449800,100,SOTA,,
summit,W5N/MG-006,San Mateo Peak,33.611200,-107.432300,100,SOTA,,
summit,W5N/MG-007,Mount Withington,33.880700,-107.486200,100,SOTA,,
summit,W5N/MG-008,Apache Kid Peak,33.641400,-107.415200,100,SOTA,,
summit,W5N/MG-009,10020,33.797000,-107.462500,100,SOTA,,
summit,W5N/OT-001,Grouse Mesa,36.831400,-106.408100,100,SOTA,,
summit,W5N/OT-002,11070,36.978000,-106.457300,100,SOTA,,
summit,W5N/OT-003,Brazos Ridge,36.912500,-106.363200,100,SOTA,,
summit,W5N/OT-004,Canjilon Mountain,36.568000,-106.351700,100,SOTA,,
summit,W5N/OT-005,San Antonio Mountain,36.859500,-106.018800,100,SOTA,,
summit,W5N/OT-006,10837,36.751300,-106.267400,100,SOTA,,
summit,W5N/OT-007,10821,36.815100,-106.446600,100,SOTA,,
summit,W5N/OT-008,Peñasco Amarillo,36.699400,-106.409700,100,SOTA,,
summit,W5N/OT-009,10710,36.746100,-106.415800,100,SOTA,,
summit,W5N/OT-010,Banco Julian,36.879000,-106.217700,100,SOTA,,
summit,W5N/OT-011,Broke Off Mountain,36.804200,-106.179500,100,SOTA,,
summit,W5N/OT-029,Brazos Peak,36.808600,-106.382500,100,SOTA,,
